2026-04-27 14:14:27,799 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=251
2026-04-27 14:14:29,612 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:29] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:30,570 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=251 field=extract_text elapsed=2.771s text_chars=3747
2026-04-27 14:14:30,570 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=251 field=numero_factura value=AR07727046
2026-04-27 14:14:30,570 | INFO | facturas_app.legacy.invoice_legacy | Extraction invoice boundary detected. file=ROYALFILMS12026-1-800.pdf page=251 previous_numero=AR07840967 new_numero=AR07727046
2026-04-27 14:14:30,571 | INFO | facturas_app.legacy.invoice_legacy | Extraction invoice committed. file=ROYALFILMS12026-1-800.pdf numero_factura=AR07840967 productos=32 registros_agregados=32
2026-04-27 14:14:30,572 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=251 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:30,572 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=251 field=fecha_generacion elapsed=0.000s value=07/01/2026
2026-04-27 14:14:30,573 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=251 field=fecha_expedicion elapsed=0.001s value=07/01/2026
2026-04-27 14:14:30,575 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=251 field=productos elapsed=0.001s productos_pagina=1
2026-04-27 14:14:30,576 | INFO | facturas_app.legacy.invoice_legacy | Extraction page products aggregated. file=ROYALFILMS12026-1-800.pdf page=251 productos_acumulados_factura=1
2026-04-27 14:14:30,576 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=251 elapsed=2.778s
2026-04-27 14:14:30,576 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=252
2026-04-27 14:14:32,071 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=252 field=extract_text elapsed=1.495s text_chars=3747
2026-04-27 14:14:32,072 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:32] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:32,073 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=252 field=numero_factura value=AR07727046
2026-04-27 14:14:32,076 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=252 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:32,076 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=252 field=fecha_generacion elapsed=0.000s value=07/01/2026
2026-04-27 14:14:32,077 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=252 field=fecha_expedicion elapsed=0.000s value=07/01/2026
2026-04-27 14:14:32,079 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=252 field=productos elapsed=0.001s productos_pagina=1
2026-04-27 14:14:32,080 | INFO | facturas_app.legacy.invoice_legacy | Extraction page products aggregated. file=ROYALFILMS12026-1-800.pdf page=252 productos_acumulados_factura=2
2026-04-27 14:14:32,081 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=252 elapsed=1.504s
2026-04-27 14:14:32,081 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=253
2026-04-27 14:14:33,488 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=253 field=extract_text elapsed=1.407s text_chars=4249
2026-04-27 14:14:33,488 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=253 field=numero_factura value=AR07777590
2026-04-27 14:14:33,489 | INFO | facturas_app.legacy.invoice_legacy | Extraction invoice boundary detected. file=ROYALFILMS12026-1-800.pdf page=253 previous_numero=AR07727046 new_numero=AR07777590
2026-04-27 14:14:33,489 | INFO | facturas_app.legacy.invoice_legacy | Extraction invoice committed. file=ROYALFILMS12026-1-800.pdf numero_factura=AR07727046 productos=2 registros_agregados=2
2026-04-27 14:14:33,490 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=253 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
